Rank Team                            W-L-T    Rating
606  Lock Haven                      0-11-0 -33.6626
607  Rose-Hulman                     6-4-0   -33.663
608  Quincy                          0-11-0 -33.6759
609  Rhodes                          4-6-0  -33.7073
610  Grove City                      5-5-0  -33.7183
611  Virginia-Wise                   3-8-0  -33.7225
612  Illinois College                5-5-0  -33.9125
613  Averett                         5-5-0  -33.9245
614  Chowan                          3-7-0  -34.2886
615  WPI                             3-7-0  -34.3282
616  Geneva                          5-5-0  -34.4474
617  Edward Waters                   0-8-0  -34.4823
618  Tabor                           4-6-0  -34.6132
619  Mount Ida                       6-5-0  -34.6842
620  Emory & Henry                   5-5-0  -34.7039
621  Alma                            3-7-0  -34.7135
622  William Paterson                4-6-0  -34.7536
623  Hamline                         1-9-0  -34.7688
624  Central St OH                   1-10-0 -34.8116
625  Denison                         4-6-0  -34.8271
626  Susquehanna                     2-8-0  -35.0236
627  Ferrum                          4-6-0  -35.4793
628  Bethany WV                      5-5-0   -35.806
629  Briar Cliff                     2-9-0  -36.1768
630  Wilmington                      0-10-0 -36.4297
631  Plymouth St                     6-4-0  -36.4626
632  Lincoln PA                      1-9-0  -36.5186
633  Brockport St                    2-8-0  -36.6118
634  Pacific OR                      0-9-0  -36.8852
635  SUNY-Maritime                   10-1-0 -37.0298
636  New Mexico Highlands            1-10-0 -37.2685
637  Pikeville                       2-8-0  -37.3036
638  Ohio Wesleyan                   2-8-0  -37.3446
639  Johnson C. Smith                2-8-0  -37.3649
640  Frostburg St                    2-8-0  -37.3874
641  Minnesota-Crookston             1-10-0 -37.4611
642  Valparaiso                      0-11-0 -37.5088
643  Cornell IA                      0-10-0 -37.8742
644  Central Methodist               3-7-0  -38.0269
645  West Virginia Tech              2-9-0  -38.1103
646  Evangel                         4-6-0  -38.1178
647  FDU-Florham                     3-7-0  -38.3926
648  Martin Luther                   5-4-0  -38.5384
649  Grinnell                        6-4-0  -38.7497
650  Olivet Nazarene                 0-11-0 -39.3472
651  Westminster PA                  2-8-0  -39.4505
652  Iowa Wesleyan                   3-8-0  -39.4788
653  Manchester                      2-8-0  -39.9448
654  Graceland                       1-10-0 -39.9903
655  Kalamazoo                       3-7-0  -40.0901
656  Catholic                        4-6-0  -40.8056
