Rank Team                            W-L-T    Rating
576  Olivet                          6-4-0  -30.5478
577  Geneva                          3-7-0  -30.7164
578  Macalester                      9-1-0  -30.7464
579  Jamestown                       5-5-0  -30.8903
580  Thiel                           4-6-0  -31.0086
581  Muskingum                       3-7-0  -31.0187
582  Puget Sound                     4-5-0  -31.0462
583  WPI                             4-6-0  -31.1652
584  Hastings                        6-4-0  -31.1693
585  Manchester                      4-6-0  -31.2702
586  Edward Waters                   4-6-0  -31.3183
587  SW Assem of God                 4-6-0  -31.4986
588  Washington and Lee              2-8-0  -31.5217
589  Cornell IA                      5-4-0   -31.564
590  Elmhurst                        5-5-0  -31.5727
591  Dakota Wesleyan                 7-4-0  -31.8585
592  Occidental                      5-4-0   -31.923
593  Hendrix                         6-4-0  -32.0909
594  St Norbert                      6-4-0  -32.1537
595  Benedictine IL                  6-4-0  -32.1552
596  Rochester                       5-4-0   -32.182
597  Bluffton                        6-4-0  -32.1906
598  Wilkes                          2-8-0  -32.2192
599  Lindenwood-Belleville           2-8-0  -32.3064
600  Hamline                         4-6-0   -32.383
601  William Paterson                4-6-0  -32.4031
602  Millsaps                        3-6-0  -32.4182
603  Culver-Stockton                 5-6-0  -32.4446
604  Bacone                          3-8-0   -32.729
605  Husson                          8-1-0  -32.8358
606  Hiram                           5-5-0  -32.8694
607  Trine                           6-4-0  -32.9323
608  Bluefield                       3-8-0  -32.9585
609  Kean                            2-8-0  -33.0711
610  Fitchburg St                    6-4-0  -33.1957
611  Westfield St                    5-5-0  -33.5011
612  Marietta                        2-8-0  -33.9411
613  Concordia AL                    1-9-0  -34.0149
614  Southern Virginia               1-9-0  -34.1101
615  Lakeland                        6-4-0  -34.2873
616  Carnegie Mellon                 4-6-0  -34.5151
617  Dakota St                       6-5-0   -34.536
618  Loras                           3-7-0  -34.6014
619  Sul Ross St                     2-8-0  -34.8178
620  Wisconsin Lutheran              7-3-0  -34.8781
621  Capital                         3-7-0  -35.0285
622  Birmingham-Southern             3-7-0  -35.1396
623  Point U.                        0-9-0  -35.9231
624  McPherson                       4-7-0  -36.2249
625  Bridgewater St MA               4-6-0  -36.2284
626  Concordia MI                    3-8-0  -36.3471
627  Berry                           2-8-0  -36.4424
628  Austin                          5-5-0  -36.9173
629  Carthage                        3-7-0  -37.1525
630  Defiance                        3-7-0   -37.247
631  Hanover                         2-8-0  -37.6343
632  UMass-Dartmouth                 4-6-0  -37.8039
633  Peru St                         2-9-0  -37.8641
634  Midland U.                      2-8-0   -37.935
635  Presentation                    6-4-0  -38.3977
636  La Verne                        2-7-0  -38.5491
637  St Olaf                         1-9-0  -38.6216
638  New Jersey                      2-8-0  -38.6841
639  Cheyney                         0-11-0 -38.8885
640  Sewanee                         2-8-0  -39.0303
641  Lincoln PA                      1-9-0  -39.0542
642  Howard Payne                    4-6-0  -39.1445
643  Lane                            1-8-0  -39.2172
644  Castleton St                    7-3-0  -39.2863
645  Nebraska Wesleyan               4-6-0  -39.3395
646  St Mary KS                      4-7-0  -39.3774
647  McDaniel                        1-9-0  -39.5313
648  Northwestern MN                 8-2-0  -39.5991
649  Wayland Baptist                 3-8-0  -39.8875
650  North Park                      2-8-0  -40.0823
651  Concordia WI                    5-5-0  -40.1105
652  Whittier                        2-7-0   -40.591
653  LaGrange                        5-5-0  -40.6892
654  Coast Guard                     3-7-0   -41.348
655  Ripon                           3-7-0  -41.3847
656  Catholic                        3-7-0   -41.485
657  Norwich                         7-3-0  -41.5922
658  Ferrum                          1-9-0  -41.6151
